Day,Start Hour,Impressions
Sunday,12 AM,"32,957"
Sunday,1 AM,"21,831"
Sunday,2 AM,"12,402"
Sunday,3 AM,"6,848"
Sunday,4 AM,"4,258"
Sunday,5 AM,"3,831"
Sunday,6 AM,"4,507"
Sunday,7 AM,"8,928"
Sunday,8 AM,"23,212"
Sunday,9 AM,"44,651"
Sunday,10 AM,"57,835"
Sunday,11 AM,"66,007"
Sunday,12 PM,"66,410"
Sunday,1 PM,"63,055"
Sunday,2 PM,"59,037"
Sunday,3 PM,"54,838"
Sunday,4 PM,"46,774"
Sunday,5 PM,"42,317"
Sunday,6 PM,"36,975"
Sunday,7 PM,"31,562"
Sunday,8 PM,"31,160"
Sunday,9 PM,"33,161"
Sunday,10 PM,"34,220"
Sunday,11 PM,"26,690"
Monday,12 AM,"26,117"
Monday,1 AM,"15,947"
Monday,2 AM,"8,877"
Monday,3 AM,"5,017"
Monday,4 AM,"3,259"
Monday,5 AM,"3,129"
Monday,6 AM,"4,620"
Monday,7 AM,"9,757"
Monday,8 AM,"23,171"
Monday,9 AM,"41,978"
Monday,10 AM,"53,739"
Monday,11 AM,"59,381"
Monday,12 PM,"59,789"
Monday,1 PM,"60,156"
Monday,2 PM,"56,824"
Monday,3 PM,"53,254"
Monday,4 PM,"48,924"
Monday,5 PM,"42,901"
Monday,6 PM,"36,271"
Monday,7 PM,"32,054"
Monday,8 PM,"31,758"
Monday,9 PM,"31,382"
Monday,10 PM,"27,160"
Monday,11 PM,"19,091"
Tuesday,12 AM,"25,012"
Tuesday,1 AM,"14,314"
Tuesday,2 AM,"7,766"
Tuesday,3 AM,"4,535"
Tuesday,4 AM,"2,975"
Tuesday,5 AM,"3,164"
Tuesday,6 AM,"4,713"
Tuesday,7 AM,"10,715"
Tuesday,8 AM,"24,826"
Tuesday,9 AM,"42,190"
Tuesday,10 AM,"51,251"
Tuesday,11 AM,"57,194"
Tuesday,12 PM,"58,674"
Tuesday,1 PM,"57,757"
Tuesday,2 PM,"54,196"
Tuesday,3 PM,"53,410"
Tuesday,4 PM,"48,144"
Tuesday,5 PM,"42,233"
Tuesday,6 PM,"35,799"
Tuesday,7 PM,"33,158"
Tuesday,8 PM,"32,102"
Tuesday,9 PM,"30,872"
Tuesday,10 PM,"26,489"
Tuesday,11 PM,"19,819"
Wednesday,12 AM,"24,366"
Wednesday,1 AM,"14,308"
Wednesday,2 AM,"7,591"
Wednesday,3 AM,"4,268"
Wednesday,4 AM,"2,909"
Wednesday,5 AM,"2,915"
Wednesday,6 AM,"4,384"
Wednesday,7 AM,"9,921"
Wednesday,8 AM,"23,850"
Wednesday,9 AM,"42,308"
Wednesday,10 AM,"52,682"
Wednesday,11 AM,"58,449"
Wednesday,12 PM,"56,488"
Wednesday,1 PM,"56,702"
Wednesday,2 PM,"53,932"
Wednesday,3 PM,"51,882"
Wednesday,4 PM,"47,913"
Wednesday,5 PM,"42,240"
Wednesday,6 PM,"35,469"
Wednesday,7 PM,"31,641"
Wednesday,8 PM,"31,828"
Wednesday,9 PM,"32,593"
Wednesday,10 PM,"27,308"
Wednesday,11 PM,"18,662"
Thursday,12 AM,"24,550"
Thursday,1 AM,"14,407"
Thursday,2 AM,"7,819"
Thursday,3 AM,"4,460"
Thursday,4 AM,"3,009"
Thursday,5 AM,"3,099"
Thursday,6 AM,"4,633"
Thursday,7 AM,"10,737"
Thursday,8 AM,"25,208"
Thursday,9 AM,"44,673"
Thursday,10 AM,"51,504"
Thursday,11 AM,"58,353"
Thursday,12 PM,"58,263"
Thursday,1 PM,"56,675"
Thursday,2 PM,"55,196"
Thursday,3 PM,"52,028"
Thursday,4 PM,"48,278"
Thursday,5 PM,"43,115"
Thursday,6 PM,"36,336"
Thursday,7 PM,"32,181"
Thursday,8 PM,"31,580"
Thursday,9 PM,"28,795"
Thursday,10 PM,"23,894"
Thursday,11 PM,"17,279"
Friday,12 AM,"24,808"
Friday,1 AM,"14,631"
Friday,2 AM,"8,183"
Friday,3 AM,"4,707"
Friday,4 AM,"3,095"
Friday,5 AM,"2,991"
Friday,6 AM,"4,996"
Friday,7 AM,"10,943"
Friday,8 AM,"25,685"
Friday,9 AM,"44,047"
Friday,10 AM,"53,720"
Friday,11 AM,"58,959"
Friday,12 PM,"58,119"
Friday,1 PM,"58,819"
Friday,2 PM,"57,176"
Friday,3 PM,"53,963"
Friday,4 PM,"49,318"
Friday,5 PM,"44,598"
Friday,6 PM,"39,093"
Friday,7 PM,"35,156"
Friday,8 PM,"35,228"
Friday,9 PM,"32,315"
Friday,10 PM,"24,842"
Friday,11 PM,"18,806"
Saturday,12 AM,"29,856"
Saturday,1 AM,"17,977"
Saturday,2 AM,"9,683"
Saturday,3 AM,"5,341"
Saturday,4 AM,"3,497"
Saturday,5 AM,"3,524"
Saturday,6 AM,"4,509"
Saturday,7 AM,"9,512"
Saturday,8 AM,"23,340"
Saturday,9 AM,"42,717"
Saturday,10 AM,"53,510"
Saturday,11 AM,"61,298"
Saturday,12 PM,"64,798"
Saturday,1 PM,"63,415"
Saturday,2 PM,"59,812"
Saturday,3 PM,"55,349"
Saturday,4 PM,"50,605"
Saturday,5 PM,"44,690"
Saturday,6 PM,"39,091"
Saturday,7 PM,"34,184"
Saturday,8 PM,"32,194"
Saturday,9 PM,"31,851"
Saturday,10 PM,"28,102"
Saturday,11 PM,"21,081"
