Week,Clicks,Conv. value,Cost / conv.,Cost
"Week of Dec 30, 2024","14,549","96,043.77",TRY45.56,"TRY25,131.70"
"Week of Jan 6, 2025","19,809","121,671.69",TRY56.35,"TRY35,576.97"
"Week of Jan 13, 2025","21,267","176,038.35",TRY47.38,"TRY37,088.12"
"Week of Jan 20, 2025","23,516","136,395.48",TRY63.15,"TRY44,137.66"
"Week of Jan 27, 2025","23,035","149,621.92",TRY55.48,"TRY42,251.41"
"Week of Feb 3, 2025","21,472","172,586.19",TRY61.63,"TRY43,152.49"
"Week of Feb 10, 2025","23,388","214,977.50",TRY60.36,"TRY48,762.96"
"Week of Feb 17, 2025","18,184","133,326.22",TRY74.30,"TRY40,048.26"
"Week of Feb 24, 2025","21,093","153,138.92",TRY71.51,"TRY39,787.48"
"Week of Mar 3, 2025","32,272","186,391.63",TRY68.48,"TRY50,594.57"
"Week of Mar 10, 2025","28,883","178,644.97",TRY85.49,"TRY54,862.74"
"Week of Mar 17, 2025","20,479","122,275.55",TRY85.17,"TRY42,680.86"
"Week of Mar 24, 2025","19,644","116,373.78",TRY103.99,"TRY41,889.47"
"Week of Mar 31, 2025","23,446","144,529.39",TRY85.22,"TRY49,256.95"
"Week of Apr 7, 2025","18,153","166,949.52",TRY72.50,"TRY42,745.26"
"Week of Apr 14, 2025","18,528","142,414.50",TRY82.50,"TRY44,457.45"
"Week of Apr 21, 2025","16,914","148,858.69",TRY66.24,"TRY39,838.38"
"Week of Apr 28, 2025","19,380","143,036.57",TRY82.07,"TRY48,015.02"
"Week of May 5, 2025","19,534","169,939.86",TRY71.93,"TRY49,877.31"
"Week of May 12, 2025","18,340","155,460.49",TRY84.82,"TRY52,914.68"
"Week of May 19, 2025","17,093","109,173.62",TRY90.75,"TRY45,264.23"
"Week of May 26, 2025","15,314","159,442.18",TRY69.57,"TRY38,133.42"
"Week of Jun 2, 2025","17,688","135,699.35",TRY79.89,"TRY42,337.97"
"Week of Jun 9, 2025","18,792","170,309.47",TRY75.13,"TRY45,798.43"
"Week of Jun 16, 2025","17,449","135,362.57",TRY87.38,"TRY45,174.84"
"Week of Jun 23, 2025","19,222","179,425.83",TRY72.61,"TRY44,899.09"
"Week of Jun 30, 2025","19,579","172,153.82",TRY78.27,"TRY43,656.50"
"Week of Jul 7, 2025","20,973","183,349.48",TRY75.55,"TRY48,954.50"
"Week of Jul 14, 2025","22,101","185,457.47",TRY78.05,"TRY50,230.05"
"Week of Jul 21, 2025","20,781","184,427.72",TRY71.08,"TRY45,348.18"
"Week of Jul 28, 2025","20,051","165,266.75",TRY72.50,"TRY44,803.16"
"Week of Aug 4, 2025","21,065","226,846.54",TRY77.54,"TRY52,322.97"
"Week of Aug 11, 2025","21,880","191,701.39",TRY85.81,"TRY57,802.93"
"Week of Aug 18, 2025","21,542","210,417.27",TRY69.98,"TRY55,950.88"
"Week of Aug 25, 2025","16,994","176,750.91",TRY57.20,"TRY40,513.80"
"Week of Sep 1, 2025","15,030","165,025.82",TRY51.89,"TRY33,371.15"
"Week of Sep 8, 2025","15,011","165,431.18",TRY64.88,"TRY39,187.01"
"Week of Sep 15, 2025","15,722","175,927.41",TRY63.16,"TRY40,068.07"
"Week of Sep 22, 2025","14,991","170,974.11",TRY65.70,"TRY35,140.30"
"Week of Sep 29, 2025","15,196","165,354.13",TRY64.00,"TRY37,548.23"
"Week of Oct 6, 2025","15,554","155,101.79",TRY74.21,"TRY41,953.91"
"Week of Oct 13, 2025","16,796","159,347.38",TRY85.07,"TRY47,054.67"
"Week of Oct 20, 2025","17,646","145,849.12",TRY83.54,"TRY44,655.41"
"Week of Oct 27, 2025","12,116","114,701.89",TRY71.95,"TRY32,598.60"
